                       g_value (photons/atom/s)
Velocity (km/s)      7667.01 A           7701.08 A
    -11.3          1.305439e+02        6.818144e+01
    -11.2          1.304288e+02        6.813731e+01
    -11.1          1.303137e+02        6.809277e+01
    -11.0          1.301986e+02        6.804822e+01
    -10.9          1.300780e+02        6.800368e+01
    -10.8          1.299536e+02        6.794876e+01
    -10.7          1.298293e+02        6.789294e+01
    -10.6          1.297049e+02        6.783711e+01
    -10.5          1.295665e+02        6.778047e+01
    -10.4          1.294182e+02        6.771777e+01
    -10.3          1.292698e+02        6.765507e+01
    -10.2          1.291215e+02        6.759236e+01
    -10.1          1.289620e+02        6.752777e+01
    -10.0          1.287991e+02        6.745000e+01
     -9.9          1.286363e+02        6.737224e+01
     -9.8          1.284734e+02        6.729448e+01
     -9.7          1.282819e+02        6.721289e+01
     -9.6          1.280812e+02        6.712330e+01
     -9.5          1.278805e+02        6.703371e+01
     -9.4          1.276797e+02        6.694412e+01
     -9.3          1.274467e+02        6.684688e+01
     -9.2          1.272115e+02        6.673425e+01
     -9.1          1.269762e+02        6.662161e+01
     -9.0          1.267375e+02        6.650898e+01
     -8.9          1.264727e+02        6.638787e+01
     -8.8          1.262078e+02        6.625924e+01
     -8.7          1.259430e+02        6.613061e+01
     -8.6          1.256701e+02        6.600198e+01
     -8.5          1.253328e+02        6.585347e+01
     -8.4          1.249954e+02        6.568793e+01
     -8.3          1.246580e+02        6.552239e+01
     -8.2          1.243061e+02        6.535684e+01
     -8.1          1.239192e+02        6.517148e+01
     -8.0          1.235322e+02        6.497905e+01
     -7.9          1.231452e+02        6.478662e+01
     -7.8          1.227288e+02        6.459418e+01
     -7.7          1.222375e+02        6.436174e+01
     -7.6          1.217462e+02        6.411561e+01
     -7.5          1.212548e+02        6.386948e+01
     -7.4          1.207239e+02        6.362336e+01
     -7.3          1.201471e+02        6.333559e+01
     -7.2          1.195703e+02        6.304532e+01
     -7.1          1.189935e+02        6.275506e+01
     -7.0          1.183401e+02        6.246479e+01
     -6.9          1.175944e+02        6.209147e+01
     -6.8          1.168487e+02        6.171393e+01
     -6.7          1.161031e+02        6.133638e+01
     -6.6          1.152792e+02        6.094612e+01
     -6.5          1.144105e+02        6.048375e+01
     -6.4          1.135417e+02        6.002138e+01
     -6.3          1.126729e+02        5.955901e+01
     -6.2          1.116464e+02        5.906890e+01
     -6.1          1.105254e+02        5.852687e+01
     -6.0          1.094044e+02        5.798483e+01
     -5.9          1.082834e+02        5.744280e+01
     -5.8          1.070052e+02        5.684493e+01
     -5.7          1.056894e+02        5.614626e+01
     -5.6          1.043736e+02        5.544758e+01
     -5.5          1.030577e+02        5.474890e+01
     -5.4          1.014674e+02        5.399690e+01
     -5.3          9.980729e+01        5.320211e+01
     -5.2          9.814714e+01        5.240731e+01
     -5.1          9.648699e+01        5.161251e+01
     -5.0          9.462398e+01        5.071321e+01
     -4.9          9.275651e+01        4.973273e+01
     -4.8          9.088904e+01        4.875226e+01
     -4.7          8.902157e+01        4.777179e+01
     -4.6          8.674613e+01        4.672014e+01
     -4.5          8.445761e+01        4.564615e+01
     -4.4          8.216909e+01        4.457216e+01
     -4.3          7.986193e+01        4.349817e+01
     -4.2          7.744943e+01        4.230201e+01
     -4.1          7.503692e+01        4.106923e+01
     -4.0          7.262442e+01        3.983645e+01
     -3.9          7.017406e+01        3.860367e+01
     -3.8          6.749267e+01        3.737417e+01
     -3.7          6.481128e+01        3.614479e+01
     -3.6          6.212989e+01        3.491541e+01
     -3.5          5.949040e+01        3.368602e+01
