                       g_value (photons/atom/s)
Velocity (km/s)      5891.58 A           5897.56 A
      1.5          5.875712e+00        2.877102e+00
      1.6          6.077448e+00        2.952180e+00
      1.7          6.305546e+00        3.033748e+00
      1.8          6.533644e+00        3.115315e+00
      1.9          6.761742e+00        3.196883e+00
      2.0          6.989840e+00        3.278450e+00
      2.1          7.272495e+00        3.381782e+00
      2.2          7.582584e+00        3.502423e+00
      2.3          7.892672e+00        3.623064e+00
      2.4          8.202761e+00        3.743705e+00
      2.5          8.512849e+00        3.864347e+00
      2.6          8.880100e+00        4.015371e+00
      2.7          9.317903e+00        4.187277e+00
      2.8          9.755705e+00        4.359183e+00
      2.9          1.019351e+01        4.531089e+00
      3.0          1.063131e+01        4.702995e+00
      3.1          1.110606e+01        4.901975e+00
      3.2          1.162112e+01        5.145099e+00
      3.3          1.213618e+01        5.388223e+00
      3.4          1.265124e+01        5.631348e+00
      3.5          1.316630e+01        5.874472e+00
      3.6          1.371153e+01        6.143254e+00
      3.7          1.434248e+01        6.448079e+00
      3.8          1.497343e+01        6.752903e+00
      3.9          1.560438e+01        7.057728e+00
      4.0          1.623533e+01        7.362553e+00
      4.1          1.688127e+01        7.682208e+00
      4.2          1.756372e+01        8.019878e+00
      4.3          1.824617e+01        8.357547e+00
      4.4          1.892862e+01        8.695217e+00
      4.5          1.961108e+01        9.032886e+00
      4.6          2.028589e+01        9.381415e+00
      4.7          2.094460e+01        9.764515e+00
      4.8          2.160332e+01        1.014761e+01
      4.9          2.226203e+01        1.053071e+01
      5.0          2.292074e+01        1.091381e+01
      5.1          2.357829e+01        1.129479e+01
      5.2          2.422579e+01        1.167017e+01
      5.3          2.487328e+01        1.204555e+01
      5.4          2.552078e+01        1.242093e+01
      5.5          2.616828e+01        1.279631e+01
      5.6          2.680291e+01        1.317194e+01
      5.7          2.735475e+01        1.355135e+01
      5.8          2.790660e+01        1.393076e+01
      5.9          2.845844e+01        1.431018e+01
      6.0          2.901028e+01        1.468959e+01
      6.1          2.956213e+01        1.506397e+01
      6.2          3.007181e+01        1.539198e+01
      6.3          3.057767e+01        1.571999e+01
      6.4          3.108352e+01        1.604801e+01
      6.5          3.158938e+01        1.637602e+01
      6.6          3.209523e+01        1.670403e+01
      6.7          3.251354e+01        1.700906e+01
      6.8          3.292698e+01        1.731111e+01
      6.9          3.334042e+01        1.761316e+01
      7.0          3.375386e+01        1.791521e+01
      7.1          3.416730e+01        1.821726e+01
      7.2          3.454616e+01        1.847455e+01
      7.3          3.491221e+01        1.872801e+01
      7.4          3.527826e+01        1.898147e+01
      7.5          3.564431e+01        1.923493e+01
      7.6          3.601036e+01        1.948839e+01
      7.7          3.633253e+01        1.972538e+01
      7.8          3.664085e+01        1.995560e+01
      7.9          3.694918e+01        2.018581e+01
      8.0          3.725750e+01        2.041603e+01
      8.1          3.756582e+01        2.064624e+01
      8.2          3.785956e+01        2.084872e+01
      8.3          3.814099e+01        2.104166e+01
      8.4          3.842242e+01        2.123460e+01
      8.5          3.870386e+01        2.142754e+01
      8.6          3.898529e+01        2.162048e+01
      8.7          3.924298e+01        2.180679e+01
      8.8          3.948298e+01        2.198728e+01
      8.9          3.972298e+01        2.216776e+01
      9.0          3.996298e+01        2.234825e+01
      9.1          4.020297e+01        2.252873e+01
      9.2          4.044201e+01        2.269538e+01
      9.3          4.067929e+01        2.285148e+01
      9.4          4.091657e+01        2.300758e+01
      9.5          4.115385e+01        2.316368e+01
      9.6          4.139113e+01        2.331978e+01
      9.7          4.161932e+01        2.347473e+01
      9.8          4.183304e+01        2.362759e+01
      9.9          4.204676e+01        2.378044e+01
     10.0          4.226048e+01        2.393330e+01
     10.1          4.247420e+01        2.408615e+01
     10.2          4.268817e+01        2.423411e+01
     10.3          4.290338e+01        2.437442e+01
     10.4          4.311859e+01        2.451473e+01
     10.5          4.333379e+01        2.465505e+01
     10.6          4.354900e+01        2.479536e+01
     10.7          4.376078e+01        2.493594e+01
     10.8          4.395873e+01        2.507774e+01
     10.9          4.415668e+01        2.521954e+01
     11.0          4.435463e+01        2.536134e+01
     11.1          4.455258e+01        2.550315e+01
     11.2          4.475054e+01        2.564313e+01
     11.3          4.496000e+01        2.577642e+01
     11.4          4.516969e+01        2.590971e+01
     11.5          4.537938e+01        2.604301e+01
     11.6          4.558906e+01        2.617630e+01
     11.7          4.579864e+01        2.630960e+01
     11.8          4.599834e+01        2.644588e+01
     11.9          4.619804e+01        2.658216e+01
     12.0          4.639774e+01        2.671843e+01
     12.1          4.659744e+01        2.685471e+01
     12.2          4.679714e+01        2.699066e+01
     12.3          4.700623e+01        2.711781e+01
     12.4          4.721776e+01        2.724496e+01
     12.5          4.742928e+01        2.737211e+01
     12.6          4.764081e+01        2.749926e+01
     12.7          4.785234e+01        2.762641e+01
     12.8          4.805123e+01        2.775577e+01
     12.9          4.824742e+01        2.788560e+01
     13.0          4.844362e+01        2.801543e+01
     13.1          4.863981e+01        2.814526e+01
     13.2          4.883601e+01        2.827509e+01
