                                 g_value (photons/atom/s)
Velocity (km/s)      4031.90 A           4034.21 A           4035.63 A
     -9.4          7.815828e-01        6.345047e-01        9.352931e-01
     -9.3          7.799686e-01        6.290643e-01        9.270036e-01
     -9.2          7.783544e-01        6.236239e-01        9.187142e-01
     -9.1          7.767402e-01        6.181834e-01        9.104247e-01
     -9.0          7.751260e-01        6.127430e-01        9.021352e-01
     -8.9          7.746343e-01        6.081006e-01        8.935851e-01
     -8.8          7.765775e-01        6.061550e-01        8.835099e-01
     -8.7          7.785208e-01        6.042094e-01        8.734347e-01
     -8.6          7.804641e-01        6.022637e-01        8.633594e-01
     -8.5          7.824074e-01        6.003181e-01        8.532842e-01
     -8.4          7.843506e-01        5.983725e-01        8.432090e-01
     -8.3          7.862939e-01        5.964269e-01        8.331338e-01
     -8.2          7.882372e-01        5.944813e-01        8.230585e-01
     -8.1          7.885562e-01        5.918398e-01        8.118536e-01
     -8.0          7.886379e-01        5.890130e-01        8.001869e-01
     -7.9          7.887197e-01        5.861861e-01        7.885203e-01
     -7.8          7.888014e-01        5.833593e-01        7.768536e-01
     -7.7          7.888832e-01        5.805324e-01        7.651869e-01
     -7.6          7.889650e-01        5.777055e-01        7.535202e-01
     -7.5          7.890467e-01        5.748787e-01        7.418536e-01
     -7.4          7.866228e-01        5.705057e-01        7.297618e-01
     -7.3          7.808722e-01        5.632726e-01        7.165426e-01
     -7.2          7.751216e-01        5.560395e-01        7.033233e-01
     -7.1          7.693710e-01        5.488064e-01        6.901040e-01
     -7.0          7.636204e-01        5.415733e-01        6.768847e-01
     -6.9          7.578698e-01        5.343402e-01        6.636654e-01
     -6.8          7.521192e-01        5.271071e-01        6.504461e-01
     -6.7          7.463686e-01        5.198740e-01        6.372268e-01
     -6.6          7.335574e-01        5.080118e-01        6.231623e-01
     -6.5          7.206508e-01        4.957040e-01        6.089340e-01
     -6.4          7.077442e-01        4.833962e-01        5.947056e-01
     -6.3          6.948376e-01        4.710884e-01        5.804773e-01
     -6.2          6.819310e-01        4.587806e-01        5.662490e-01
     -6.1          6.690244e-01        4.464727e-01        5.520206e-01
     -6.0          6.561178e-01        4.341649e-01        5.377923e-01
     -5.9          6.404002e-01        4.207206e-01        5.233536e-01
     -5.8          6.223233e-01        4.060124e-01        5.086014e-01
     -5.7          6.042465e-01        3.913041e-01        4.938491e-01
     -5.6          5.861696e-01        3.765959e-01        4.790969e-01
     -5.5          5.680928e-01        3.618877e-01        4.643447e-01
     -5.4          5.500159e-01        3.471794e-01        4.495925e-01
     -5.3          5.319391e-01        3.324712e-01        4.348403e-01
     -5.2          5.137664e-01        3.178200e-01        4.200880e-01
     -5.1          4.947385e-01        3.047529e-01        4.055048e-01
     -5.0          4.757107e-01        2.916859e-01        3.909275e-01
     -4.9          4.566828e-01        2.786188e-01        3.763502e-01
     -4.8          4.376550e-01        2.655518e-01        3.617730e-01
     -4.7          4.186271e-01        2.524847e-01        3.471957e-01
     -4.6          3.995992e-01        2.394177e-01        3.326185e-01
     -4.5          3.805714e-01        2.263506e-01        3.180412e-01
     -4.4          3.638564e-01        2.156925e-01        3.043479e-01
     -4.3          3.483447e-01        2.066673e-01        2.914401e-01
